references,GROUP_HawOL,Sample_HawOL,GeographicSetting_HawOL,Locality_HawOL,NumberPoint_HawOL,Fo_HawOL,Mnppm_HawOL,Nippm_HawOL,GROUP_MORBOL,Sample_MORBOL,GeographicSetting_MORBOL,Locality_MORBOL,NumberPoint_MORBOL,Fo_MORBOL,Mnppm_MORBOL,Nippm_MORBOL,volcano_island,Year_Haw,CITATION_Haw,SAMPLE NAME_Haw,LOCATION_Haw,FeOt_100_Haw,MgO_100_Haw,MnO_100_Haw,Ni_Haw,FeOMnO_100_Haw,GeoName_MORB,VG no#_MORB,Ocean_MORB,FeOt_MORB,MgO_MORB,MnO_MORB,Ni_MORB,FeOMnO_MORB
"Hawaiian olivine and MORB olivine: Sobolev et al. (2005), Sobolev et al. (2007)",WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-64 ,89,1138,3292,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-10 ,90.26,1177,2397,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-86-132,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.81402371,8.28132164,0.171685936,88,68.81183156,Blanco_trough,177,Pacific,11.01884,8.30299,0.19411934,142.13039,56.76322617
"MORB glasses: Jenner and O'Neill (2012), Yang et al. (2018), Yang et al. (2021)",WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-24 ,88.66,1162,3237,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-24 ,89.79,1255,2232,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-86-133A,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.30482813,7.588085525,0.170857555,168,66.16522243,Blanco_trough,178,Pacific,11.4013,7.66927,0.19471753,113.73941,58.55302294
"Hawaiian basalts: GEOROC, see column T",WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-87 ,88.23,1224,3025,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-37 ,89.78,1255,2177,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-86-133B,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.29987077,9.617485922,0.169427213,125,66.69454434,Blanco_trough,179,Pacific,10.78209,8.38238,0.19124016,139.68603,56.37984197
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-26 ,88.22,1216,3072,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-36 ,89.75,1247,2200,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-86-133C,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,12.03895313,8.078790429,0.174954697,249,68.8118315,Blanco_trough,180,Pacific,14.27689,5.95579,0.24147918,43.73853,59.12265397
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-27 ,88.06,1224,2962,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-19 ,89.73,1255,2232,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-85-45B,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.91568649,8.376273141,0.17450569,199,68.28250981,Blanco_trough,183,Pacific,13.11923,6.48345,0.22179709,40.83557,59.14969398
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-85 ,88.04,1231,3025,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-16 ,89.73,1255,2169,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-85-45C,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.81502269,8.051052292,0.162853144,167,72.55016636,Blanco_trough,184,Pacific,11.76778,7.04462,0.20940298,52.83417,56.19681248
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-8 ,88.03,1216,2907,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-46 ,89.72,1239,2239,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-83-51,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.9836791,11.60233483,0.181601763,253,65.98878173,Blanco_trough,185,Pacific,9.62045,7.66143,0.1648896,114.21307,58.34479555
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-51 ,88.02,1231,2947,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-43 ,89.72,1270,2263,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-81-61D,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,12.71864214,10.22475997,0.180436941,256,70.48801686,Blanco_trough,186,Pacific,12.30307,6.62709,0.22274702,47.60043,55.23337641
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-46 ,87.98,1255,2978,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-15 ,89.69,1286,2373,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-81-63.5,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE,11.71699154,7.311844359,0.170275828,111,68.81183124,Blanco_trough,187,Pacific,13.07547,6.40541,0.22850605,41.23398,57.2215484
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-10 ,87.9,1270,2892,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-48 ,89.68,1278,2310,Kilauea,1995, [38] DZURISIN D. (1995),samp. D0123-2,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.34282829,9.994190311,0.170071307,268,66.69454413,Blanco_trough,332,Pacific,10.35088,8.21152,0.18605098,147.1752,55.63464379
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-9 ,87.85,1270,2931,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-39 ,89.67,1270,2342,Kilauea,1995, [38] DZURISIN D. (1995),samp. D0508-11,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.37126838,8.916028336,0.17049773,160,66.69454414,Blanco_trough,333,Pacific,10.9871,7.86463,0.20226938,126.45258,54.31914608
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-63 ,87.84,1255,2931,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-38 ,89.61,1286,2137,Kilauea,1995, [38] DZURISIN D. (1995),samp. D0508-10,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.4202849,9.603464148,0.17987758,222,63.48920694,Blanco_trough,334,Pacific,11.14229,7.60268,0.20425812,114.94275,54.55004677
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-101 ,87.82,1255,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-29 ,89.6,1255,2161,Kilauea,1995, [38] DZURISIN D. (1995),samp. D0827-16,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.36215205,8.828710463,0.170361042,167,66.69454423,Blanco_trough,335,Pacific,10.99963,7.92657,0.20516078,126.85869,53.6146821
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-19 ,87.8,1278,2860,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-8 ,89.39,1324,2177,Kilauea,1995, [38] DZURISIN D. (1995),samp. D0827-11,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.52748964,9.757997466,0.170139443,226,67.75318784,Blanco_trough,336,Pacific,10.31906,7.50146,0.20020798,98.29872,51.54170178
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-23 ,87.78,1278,2915,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-5 ,89.38,1286,1980,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-85-45A,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.67352844,6.719500935,0.172294896,113,67.75318777,Blanco_trough,337,Pacific,10.52577,7.25961,0.19521339,86.31022,53.91930338
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-32 ,87.78,1278,2915,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-33 ,89.36,1293,2035,Kilauea,1995, [38] DZURISIN D. (1995),samp. L-83-16A,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.533261,6.829011431,0.170224625,97,67.75318788,Blanco_trough,338,Pacific,10.55984,8.18147,0.19769149,138.24155,53.41575401
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-49 ,87.78,1278,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-1 ,89.25,1301,2129,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1684,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.23739261,7.567635675,0.171762091,130,65.42417215,Blanco_trough,339,Pacific,11.15859,8.36523,0.20340151,140.28886,54.85991721
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-76 ,87.77,1255,2892,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-25 ,89.22,1324,1815,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1717,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,10.59424185,9.534209542,0.162111958,244,65.35139036,Blanco_trough,340,Pacific,10.9416,8.24,0.1993831,139.95592,54.87726894
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-37 ,87.77,1262,2876,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-42 ,89.13,1363,1886,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. D45B(D45-4),HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.26078714,8.553177143,0.16291766,194,69.11949963,Blanco_trough,341,Pacific,11.07533,7.89023,0.20280861,140.53716,54.60976238
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-96 ,87.76,1293,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-44 ,89.11,1355,1941,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. D45A(D45-6),HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.26008961,7.558869779,0.172948568,123,65.10657903,Blanco_trough,372,Pacific,11.59247,7.63801,0.21801021,114.08652,53.17397749
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-6 ,87.75,1270,2900,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-49 ,89.06,1348,1776,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1685,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.2506943,9.384765284,0.172104649,260,65.37123991,Blanco_trough,374,Pacific,11.53301,7.81468,0.21250479,120.29199,54.27176489
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-62 ,87.75,1286,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-34 ,89.06,1355,1862,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1742B,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.15884356,9.705872785,0.172233651,295,64.78898575,Blanco_trough,375,Pacific,11.65023,7.95097,0.21251685,112.66819,54.82026484
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-79 ,87.74,1270,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-23 ,89.05,1379,1957,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. SU56D,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,10.79817951,12.06103393,0.162712093,422,66.36371834,Blanco_trough,376,Pacific,10.47825,7.60874,0.19216476,105.31686,54.5274274
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-95 ,87.73,1270,2860,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-35 ,89.02,1379,1815,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1688,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.33717655,9.365361547,0.172867694,234,65.58296861,Blanco_trough,378,Pacific,12.1111,7.23773,0.22129958,107.60554,54.72717119
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-59 ,87.72,1286,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-50 ,88.97,1317,1823,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. D43B(D43-5),HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,10.74515439,10.43455119,0.161775988,308,66.41995838,Blanco_trough,380,Pacific,11.48814,7.7058,0.21266815,119.09281,54.01909031
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-36 ,87.72,1286,2829,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-7 ,88.93,1332,1933,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. D42A(D42-1),HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.07346141,8.553635363,0.171476181,188,64.577257,Blanco_trough,381,Pacific,11.49872,7.54079,0.20874436,105.71295,55.08517691
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-72 ,87.72,1278,2837,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-14 ,88.91,1363,1737,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. D42A(D42-19),HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.06860545,11.2577793,0.172106338,381,64.31259638,Blanco_trough,382,Pacific,11.18245,7.63226,0.21017678,111.99023,53.20497345
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-92 ,87.71,1270,2845,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-26 ,88.89,1363,1595,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1697A,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.07957348,10.19299313,0.172418789,336,64.25966418,Blanco_trough,383,Pacific,11.54861,7.85529,0.20922525,116.99472,55.19701852
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-93 ,87.71,1262,2648,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-20 ,88.78,1402,2019,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1697B(1697),HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.10076121,11.00837771,0.172322671,379,64.4184607,Blanco_trough,384,Pacific,11.04777,6.98489,0.20167525,94.36241,54.77999903
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-52 ,87.69,1270,2845,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-28 ,88.76,1386,1682,Kilauea,1995, [54] CLAGUE D. A. (1995),samp. 1714,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,11.23573218,12.21195732,0.162555172,457,69.11949981,Blanco_trough,385,Pacific,10.39305,8.16862,0.18871837,140.34611,55.07174527
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-34 ,87.69,1278,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-21 ,88.73,1417,1713,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211577,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,10.92113669,7.779372207,0.161649293,190,67.5606833,Blanco_trough,386,Pacific,10.33679,7.71122,0.1940049,105.79618,53.28107692
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-53 ,87.68,1262,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-32 ,88.73,1394,1682,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211567,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.49816733,7.543349018,0.152905723,140,75.19775653,Blanco_trough,387,Pacific,11.06063,8.11911,0.20438318,124.47462,54.11712451
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-57 ,87.68,1262,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-40 ,88.67,1417,1697,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211575,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.64115305,7.080035813,0.182058064,100,63.9419798,Blanco_trough,388,Pacific,14.32544,6.14104,0.25532807,49.26979,56.10601294
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-5 ,87.67,1286,2892,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-9 ,88.62,1379,1768,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211574,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.45204124,7.094376918,0.172292011,100,66.4687885,Blanco_trough,389,Pacific,12.96196,6.64827,0.23390007,46.85926,55.41665721
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-13 ,87.66,1255,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-27 ,88.49,1479,1572,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211410,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,12.06378815,7.357413713,0.201572978,97,59.84824092,Blanco_trough,373,Pacific,10.71522,8.93389,0.19447504,169.832,55.09817609
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-43 ,87.66,1286,2876,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-12 ,88.48,1425,1737,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211411,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,11.35786242,7.847107856,0.181087104,110,62.72043767,Blanco_trough,377,Pacific,10.7566,9.26547,0.19157561,173.05142,56.14806603
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-45 ,87.65,1286,2876,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-6 ,88.36,1433,1689,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211415,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,11.11526973,7.223138352,0.190610595,85,58.31401833,GSC,3222,Pacific,13.64242,5.92,0.2398723,47.33334,56.8736782
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-89 ,87.64,1270,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-22 ,88.28,1456,1988,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211416,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,10.87084756,7.033074817,0.180850495,97,60.10958145,GSC,3223,Pacific,13.71793,5.93,0.24008696,50.2558,57.1373389
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-97 ,87.63,1293,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-11 ,88.18,1448,1689,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211414,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,11.27086519,7.554416064,0.19137854,120,58.89304616,GSC,3224,Pacific,13.77297,6.16,0.24126809,50.60133,57.08575054
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-25 ,87.62,1278,2923,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-4 ,88.12,1487,1721,Kilauea,1987, [177] CASADEVALL T. J. (1987),samp. W-211413,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE,11.05611406,6.935391716,0.17087197,94,64.70408259,GSC,4510,Pacific,10.02839,8.36,0.19049283,151.14157,52.64444861
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-39 ,87.61,1278,2829,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-3 ,88.1,1487,1595,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-1,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.24524515,6.656606613,0.221886887,96,50.68007985,GSC,4512,Pacific,10.02238,8.46,0.18696783,151.92612,53.60483673
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-38 ,87.61,1293,2790,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-31 ,88,1487,1634,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-2,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.12377715,6.656639478,0.161373078,100,68.93205043,GSC,4514,Pacific,9.79212,8.47,0.18766255,152.83317,52.17940394
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-82 ,87.6,1262,2876,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-13 ,88,1471,1619,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-3,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.74719953,6.621217269,0.180578653,93,65.05309091,GSC,4520,Pacific,12.79476,6.13,0.23553703,47.35633,54.32164955
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-21 ,87.6,1286,2852,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-18 ,87.97,1495,1603,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-4,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.91248456,6.848006231,0.201411948,91,59.14487536,GSC,4524,Pacific,12.12644,6.52,0.22362197,72.78304,54.22740887
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-40 ,87.6,1286,2813,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-2 ,87.97,1510,1776,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-6,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.86506084,6.692022805,0.169797594,91,69.87767353,GSC,4525,Pacific,11.9728,6.61,0.22121941,75.10396,54.12183316
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-61 ,87.59,1278,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-47 ,87.78,1502,1179,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-7,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.56918706,6.918056794,0.170444878,110,67.87641375,GSC,4526,Pacific,11.69548,6.85,0.21569074,87.06819,54.22337556
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-20 ,87.58,1286,2750,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-45 ,87.77,1518,1619,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-8,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.41622382,6.828039878,0.170700997,98,66.87848355,GSC,4527,Pacific,11.90394,6.81,0.21825335,82.49956,54.54184323
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-15 ,87.58,1278,2727,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-17 ,87.46,1564,1689,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-9,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.41112551,7.013369389,0.180343784,100,63.27429345,GSC,4528,Pacific,11.84582,6.94,0.21864855,87.71535,54.17744595
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-30 ,87.56,1301,2790,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-30 ,87.2,1580,1634,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-10,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,12.05180494,6.701386408,0.170035178,87,70.87830343,GSC,4529,Pacific,11.71043,6.91,0.21628199,87.05127,54.14426786
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-50 ,87.55,1293,2868,MORB,113-16,Indian Ocean ,105.22 oE SEIR,113-16-41 ,84.01,2014,1281,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-11,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.36480213,7.355200005,0.161209863,93,70.49694056,GSC,4560,Pacific,9.33749,8.12264,0.18985556,96.88012,49.18207294
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-47 ,87.54,1301,2892,MORB,145-3,Indian Ocean ,116.72 oE SEIR,145-3-4 ,90.19,1177,2593,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-13,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,12.0602209,6.562670082,0.178981911,91,67.38234514,GSC,4561,Pacific,9.61782,8.28671,0.18754054,97.44465,51.28395173
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-88 ,87.54,1324,2876,MORB,145-3,Indian Ocean ,116.72 oE SEIR,145-3-39 ,90.02,1216,2546,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-15-1,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.99463661,6.962449635,0.169088063,100,70.93721696,GSC,4562,Pacific,9.50736,8.39325,0.18777455,98.89376,50.63178157
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-84 ,87.51,1301,2821,MORB,145-3,Indian Ocean ,116.72 oE SEIR,145-3-14 ,89.99,1239,2538,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-15-2,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.660506,6.5511319,0.171337296,96,68.05585399,GSC,4563,Pacific,9.44189,8.20986,0.18861746,93.24325,50.05840923
,WPM-THICK,IKI-22,Hawaii,Kilauea Iki,IKI22-60 ,87.51,1293,2868,MORB,145-3,Indian Ocean ,116.72 oE SEIR,145-3-23 ,89.95,1216,2483,Kilauea,1987, [178] CASADEVALL T. J. (1987),samp. UWE-16,HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / UWEKAHUNA FORMATION,11.87973329,7.355951366,0.171302977,100,69.34925182,GSC,4620,Pacific,12.97297,6.44,0.25112961,62.03963,51.65846433
